S20902020014 05262978172988251015050246128128          0526297817                                                               
D201202510150850521   0114987080323013¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢» 250MG PTP      100T00001000000945000000945000010403004  625403       
D201202510150851002   0114987080190011´Á¿Þ×Ñ¼ÞÖ³0.5MG¢SW£  0.5MG PTP      100T00001000000597000000597000006602806  525402       
D201202510150851003   0114987080120018´ÊÞ½ÁÝOD¼ÞÖ³10MG¢»Ü²  10MG PTP      100T00001000001989000001989000021902804  X25501       
D201202510150851003   0214987081189656¶Þ×ÝÀÐÝOD¼ÞÖ³4MG¢DSE   4MG PTP       56T00001000000906000000906000010302709  BB1B039      
D201202510150851003   0314987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000477000000477000005302905  725401       
D201202510150851003   0414987376349901¿ØÌ´Å¼ÝºÊ¸»Ý´ÝOD¼ÞÖ³   5MG PTP      100T00001000002904000002904000033002708  25002R1      
D201202510150851003   0514987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002156000002156000024222712  589017       
D201202510150851004   0114987155847017Ø½ÍßØÄÞÝÅ²Ö³´·1MG/ML       1MG0.5MLX50Î³00003000000681000002043000007502805  A1674        
D201202510150851135   0114987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000013174000013174000149702709  24092Y1      
D201202510150851135   0214987770529800ÊßÙÓÃÞ²±XR¼ÞÖ³0.2MG  0.2MG PTP      100T00001000005340000005340000060002806  KW5M         
E200000120000102510150502                                                                                                       
